Hospital_Name_English,Hospital_Name_Arabic,Governorate_English,Governorate_Arabic,City_District,Full_Address,Type,Specialty
Canadian Hospital,المستشفى الكندي,Cairo,القاهرة,Maadi,Maadi St.,Private,General
New Cairo Hospital,مستشفى القاهرة الجديدة,Cairo,القاهرة,New Cairo,New Cairo City,Public,General
El Marg Hospital,مستشفى المرج,Cairo,القاهرة,El-Marg,El-Marg St.,Public,General
El Khaleegy Hospital,مستشفى الخليجي,Cairo,القاهرة,Heliopolis,El-Khalifa St.,Private,General
Egyptian International Hospital,المستشفى المصري الدولي,Cairo,القاهرة,Nasr City,Nasr City,Private,General
Dr. Soliman Fakeeh Hospital Cairo,مستشفى الدكتور سليمان فقيه بالقاهرة,Cairo,القاهرة,New Cairo,New Cairo City,Private,General
Children's Cancer Hospital 57357,مستشفى سرطان الأطفال 57357,Cairo,القاهرة,El-Sayeda Zeinab,El-Sayeda Zeinab St.,Non-Profit,Oncology/Pediatrics
Kasr El Ainy French Hospital,المستشفى الفرنسي بقصر العيني,Cairo,القاهرة,El-Manial,El-Manial St.,University,General
El Manial University Hospital,مستشفى المنيل الجامعي,Cairo,القاهرة,El-Manial,El-Manial St.,University,General
El Moqattam Hospital,مستشفى المقطم,Cairo,القاهرة,El-Moqattam,El-Moqattam St.,Public,General
El Zawya El Hamra Hospital,مستشفى الزاوية الحمراء,Cairo,القاهرة,El-Zawya El-Hamra,El-Zawya El-Hamra St.,Public,General
Hadayek El Kobba Hospital,مستشفى حدائق القبة,Cairo,القاهرة,Hadayek El-Kobba,Hadayek El-Kobba St.,Public,General
El Salam Hospital (Meadi),مستشفى السلام بالمعادي,Cairo,القاهرة,Maadi,Maadi St.,Public,General
Tora Hospital,مستشفى طرة,Cairo,القاهرة,Tora,Tora St.,Public,General
Tora El Asmant Hospital,مستشفى طرة الأسمنت,Cairo,القاهرة,Tora,Tora St.,Public,General
El Maadi El Gideda Hospital,مستشفى المعادي الجديدة,Cairo,القاهرة,Maadi,Maadi St.,Public,General
Helwan General Hospital,مستشفى حلوان العام,Cairo,القاهرة,Helwan,Helwan St.,Public,General
Huckstep Military Hospital,مستشفى هكستب العسكري,Cairo,القاهرة,El-Nozha,El-Nozha St.,Military,General
El Qobba Palace Hospital,مستشفى القبة palace,Cairo,القاهرة,El-Qobba,El-Qobba St.,Public,General
Roden El Farag Hospital,مستشفى روض الفرج,Cairo,القاهرة,Roden El-Farag,Roden El-Farag St.,Public,General
Boulaq El Dakrour Hospital,مستشفى بولاق الدكرور,Cairo,القاهرة,Boulaq El-Dakrour,Boulaq El-Dakrour St.,Public,General
El Omraneya Hospital,مستشفى العمرانية,Cairo,القاهرة,El-Omraneya,El-Omraneya St.,Public,General
Bein El Sarayat Hospital,مستشفى بين السرايات,Cairo,القاهرة,Bein El-Sarayat,Bein El-Sarayat St.,Public,General
Kasr El Ainy New Teaching Hospital,مستشفى قصر العيني التعليمي الجديد,Cairo,القاهرة,El-Manial,El-Manial St.,University,Teaching
Ahmed Maher Teaching Hospital,مستشفى أحمد ماهر التعليمي,Cairo,القاهرة,Old Cairo,Old Cairo St.,Teaching,General
El Mokatam Medical City,مدينة المقطم الطبية,Cairo,القاهرة,El-Moqattam,El-Moqattam St.,Private,Medical Complex
Heliopolis Medical Center,المركز الطبي لمصر الجديدة,Cairo,القاهرة,Heliopolis,Heliopolis St.,Private,General
Cairo Scan Center,مركز القاهرة للاشعة,Cairo,القاهرة,El-Mohandeseen,26th July St.,Private,Diagnostic
JCI-Accredited International Hospital,المستشفى الدولي المعتمد,Cairo,القاهرة,New Cairo,New Cairo City,Private,General
Badrawy Hospital,مستشفى بدراوي,Cairo,القاهرة,El-Mohandeseen,26th July St.,Private,General
El Esraa Hospital,مستشفى الإسراء,Cairo,القاهرة,Heliopolis,Heliopolis St.,Private,General
El Hawary Hospital,مستشفى الهواري,Cairo,القاهرة,Heliopolis,Heliopolis St.,Private,General
Gammet El Tayaran Hospital,مستشفى جامع التيران,Cairo,القاهرة,Nasr City,Nasr City St.,Public,General
El Hayah Hospital,مستشفى الحياة,Cairo,القاهرة,Heliopolis,Heliopolis St.,Private,General
Ibn Sina Hospital,مستشفى ابن سينا,Cairo,القاهرة,Nasr City,Nasr City St.,Private,General
Misr Hospital,مستشفى مصر,Cairo,القاهرة,El-Mohandeseen,26th July St.,Private,General
El Nasr Hospital,مستشفى النصر,Cairo,القاهرة,Nasr City,Nasr City St.,Public,General
Olympia Hospital,مستشفى أولمبيا,Cairo,القاهرة,El-Mohandeseen,26th July St.,Private,General
Rehabilitation Hospital,مستشفى التأهيل,Cairo,القاهرة,Heliopolis,Heliopolis St.,Public,Rehabilitation
El Sadr Hospital,مستشفى الصدر,Cairo,القاهرة,Helwan,Helwan St.,Public,Chest
Fever Hospital (Abbaseya),مستشفى الحميات بالعباسية,Cairo,القاهرة,Abbaseya,Abbaseya St.,Public,Fever/Infectious
El Safa Hospital,مستشفى الصفا,Cairo,القاهرة,El-Haram,El-Haram St.,Private,General
International Eye Center,المركز الدولي للعيون,Cairo,القاهرة,Nasr City,Nasr City St.,Private,Ophthalmology
Magrabi Eye Hospital,مستشفى مغربي للعيون,Cairo,القاهرة,El-Dokki,El-Dokki St.,Private,Ophthalmology
Dr. Mahmoud Shopky Hospital,مستشفى الدكتور محمود شوبكي,Cairo,القاهرة,Heliopolis,Khalifa El-Maamoun St.,Private,Surgery
Cairo Specialized Hospital,مستشفى القاهرة التخصصي,Cairo,القاهرة,El-Dokki,El-Dokki St.,Private,Specialized
Egyptian Center for Heart and Chest,المركز المصري للقلب والصدر,Cairo,القاهرة,Nasr City,Nasr City St.,Specialized,Cardiology
National Heart Institute,المعهد القومي للقلب,Cairo,القاهرة,Imbaba,Imbaba St.,Public,Cardiology
National Institute of Laser,المعهد القومي لليزر,Cairo,القاهرة,El-Haram,El-Haram St.,University,Specialized
Saudi German Hospital Giza,مستشفى سعودي جيرمان بالجيزة,Giza,الجيزة,El-Haram,El-Haram St.,Private,General
Giza General Hospital,مستشفى الجيزة العام,Giza,الجيزة,Giza City,Giza St.,Public,General
Imbaba General Hospital,مستشفى إمبابة العام,Giza,الجيزة,Imbaba,Imbaba St.,Public,General
El Agouza Hospital,مستشفى العجوزة,Giza,الجيزة,El-Agouza,El-Agouza St.,Public,General
El Dokki Hospital,مستشفى الدقي,Giza,الجيزة,El-Dokki,El-Dokki St.,Public,General
6th October University Hospital,مستشفى جامعة 6 أكتوبر,Giza,الجيزة,6th October City,6th October University Campus,University,General
Cairo University Specialized Pediatric Hospital,مستشفى الأطفال التخصصي بجامعة القاهرة,Giza,الجيزة,El-Monira,El-Monira St.,University,Pediatrics
Egyptian German Hospital,المستشفى المصري الألماني,Giza,الجيزة,6th October City,6th October City,Private,General
Dorra Hospital,مستشفى درة,Giza,الجيزة,6th October City,6th October City,Private,General
Alfa Scan Hospital,مستشفى الفا سكان,Giza,الجيزة,6th October City,6th October City,Private,Diagnostic
El Safwa Hospital,مستشفى الصفوة,Giza,الجيزة,Sheikh Zayed City,Sheikh Zayed City,Private,General
Burj Al Arab Hospital,مستشفى برج العرب,Giza,الجيزة,6th October City,6th October City,Private,General
El Zohour Hospital,مستشفى الزهور,Giza,الجيزة,Imbaba,Imbaba St.,Public,General
Kerdasa Hospital,مستشفى كرداسة,Giza,الجيزة,Kerdasa,Kerdasa St.,Public,General
El Badrasheen Hospital,مستشفى البدرشين,Giza,الجيزة,El-Badrasheen,El-Badrasheen St.,Public,General
El Ayyat Hospital,مستشفى العياط,Giza,الجيزة,El-Ayyat,El-Ayyat St.,Public,General
El Hawamdeya Hospital,مستشفى الحوامدية,Giza,الجيزة,El-Hawamdeya,El-Hawamdeya St.,Public,General
El Saff Hospital,مستشفى الصف,Giza,الجيزة,El-Saff,El-Saff St.,Public,General
Atfeeh Hospital,مستشفى أطفيح,Giza,الجيزة,Atfeeh,Atfeeh St.,Public,General
El Warrak Hospital,مستشفى الوراق,Giza,الجيزة,El-Warrak,El-Warrak St.,Public,General
Moneeb Hospital,مستشفى منيب,Giza,الجيزة,Moneeb,Moneeb St.,Public,General
El Mansoureya Hospital,مستشفى المنصورية,Giza,الجيزة,El-Mansoureya,El-Mansoureya St.,Public,General
Abu Nomros Hospital,مستشفى أبو نمرس,Giza,الجيزة,Abu Nomros,Abu Nomros St.,Public,General
Sheikh Zayed Specialized Hospital,مستشفى الشيخ زايد التخصصي,Giza,الجيزة,Sheikh Zayed City,Sheikh Zayed City,Public,General
6th October Central Hospital,مستشفى 6 أكتوبر المركزي,Giza,الجيزة,6th October City,6th October City,Public,General
Ophthalmology Hospital Giza,مستشفى العيون بالجيزة,Giza,الجيزة,Imbaba,Imbaba St.,Public,Ophthalmology
Chest Hospital Giza,مستشفى الصدر بالجيزة,Giza,الجيزة,Imbaba,Imbaba St.,Public,Chest
Fever Hospital Giza,مستشفى الحميات بالجيزة,Giza,الجيزة,Imbaba,Imbaba St.,Public,Fever/Infectious
El Safa Hospital Giza,مستشفى الصفا بالجيزة,Giza,الجيزة,6th October City,6th October City,Private,General
Mena Hospital,مستشفى مينا,Giza,الجيزة,El-Haram,El-Haram St.,Private,General
El Tegara Hospital,مستشفى التجارة,Giza,الجيزة,Imbaba,Imbaba St.,Public,General
Alexandria University Hospital,مستشفى جامعة الإسكندرية,Alexandria,الإسكندرية,Azarita,Azarita St.,University,General
El Moassat Hospital,مستشفى المواساة,Alexandria,الإسكندرية,El-Moassat,El-Moassat St.,University,General
El Hadara University Hospital,مستشفى الحضرة الجامعي,Alexandria,الإسكندرية,El-Hadara,El-Hadara St.,University,General
El Shatby Hospital,مستشفى الشاطبي,Alexandria,الإسكندرية,El-Shatby,El-Shatby St.,University,General
El Qabbary Hospital,مستشفى القباري,Alexandria,الإسكندرية,El-Qabbary,El-Qabbary St.,Public,General
Karmouz Hospital,مستشفى كارموز,Alexandria,الإسكندرية,Karmouz,Karmouz St.,Public,General
El Mowasah Hospital,مستشفى المواساة,Alexandria,الإسكندرية,El-Mowasah,El-Mowasah St.,Public,General
Gamal Abdel Nasser Hospital,مستشفى جمال عبد الناصر,Alexandria,الإسكندرية,El-Mohatta,El-Mohatta St.,Public,General
El Safora Hospital,مستشفى الصفورة,Alexandria,الإسكندرية,El-Mandara,El-Mandara St.,Private,General
El Shefa Hospital,مستشفى الشفا,Alexandria,الإسكندرية,El-Raml Station,El-Raml Station St.,Private,General
Mersa Matrouh Hospital Alexandria,مستشفى مرسى مطروح بالإسكندرية,Alexandria,الإسكندرية,Al Agamy,Al Agamy St.,Private,General
Borg El Arab General Hospital,مستشفى برج العرب العام,Alexandria,الإسكندرية,Borg El Arab,Borg El Arab City,Public,General
Borg El Arab University Hospital,مستشفى برج العرب الجامعي,Alexandria,الإسكندرية,Borg El Arab,Borg El Arab City,University,General
El Amreya Hospital,مستشفى العامرية,Alexandria,الإسكندرية,El-Amreya,El-Amreya St.,Public,General
El Montazah Hospital,مستشفى المنتزة,Alexandria,الإسكندرية,El-Montazah,El-Montazah St.,Public,General
Ras El Tin Hospital,مستشفى رأس التين,Alexandria,الإسكندرية,Ras El Tin,Ras El Tin St.,Public,General
El Max Hospital,مستشفى المكس,Alexandria,الإسكندرية,El-Max,El-Max St.,Public,General
El Mandara Hospital,مستشفى المندرة,Alexandria,الإسكندرية,El-Mandara,El-Mandara St.,Public,General
El Maamoura Hospital,مستشفى المعمورة,Alexandria,الإسكندرية,El-Maamoura,El-Maamoura St.,Public,General
El Naserya Hospital,مستشفى الناصرية,Alexandria,الإسكندرية,El-Naserya,El-Naserya St.,Public,General
Adham Hospital,مستشفى أدهم,Alexandria,الإسكندرية,El-Mohatta,El-Mohatta St.,Private,General
Alexandria Chest Hospital,مستشفى الصدر بالإسكندرية,Alexandria,الإسكندرية,El-Hadara,El-Hadara St.,Public,Chest
Alexandria Fever Hospital,مستشفى الحميات بالإسكندرية,Alexandria,الإسكندرية,El-Hadara,El-Hadara St.,Public,Fever/Infectious
Alexandria Ophthalmic Hospital,مستشفى العيون بالإسكندرية,Alexandria,الإسكندرية,El-Hadara,El-Hadara St.,Public,Ophthalmology
Alexandria Mental Health Hospital,مستشفى الصحة النفسية بالإسكندرية,Alexandria,الإسكندرية,El-Hadara,El-Hadara St.,Public,Psychiatry
El Quds Hospital,مستشفى القدس,Alexandria,الإسكندرية,Sidi Gaber,Sidi Gaber St.,Private,General
Italian Hospital Alexandria,المستشفى الإيطالي بالإسكندرية,Alexandria,الإسكندرية,El-Azarita,El-Azarita St.,Private,General
Liver Institute Hospital,مستشفى معهد الكبد,Alexandria,الإسكندرية,El-Hadara,El-Hadara St.,University,Hepatology
Medical Research Institute,معهد البحوث الطبية,Alexandria,الإسكندرية,El-Hadara,El-Hadara St.,University,Research
Alexandria Pediatric Hospital,مستشفى الأطفال بالإسكندرية,Alexandria,الإسكندرية,El-Shatby,El-Shatby St.,University,Pediatrics
Women's Health Hospital Alexandria,مستشفى صحة المرأة بالإسكندرية,Alexandria,الإسكندرية,El-Shatby,El-Shatby St.,University,OB/GYN
El Nafea Hospital,مستشفى النافع,Alexandria,الإسكندرية,El-Mandara,El-Mandara St.,Private,General
El Mex El Gedida Hospital,مستشفى المكس الجديدة,Alexandria,الإسكندرية,El-Max,El-Max St.,Public,General
Damanhour General Hospital,مستشفى دمنهور العام,Beheira,البحيرة,Damanhour,Damanhour City Center,Public,General
Damanhour Chest Hospital,مستشفى الصدر بدمنهور,Beheira,البحيرة,Damanhour,Damanhour City,Public,Chest
Damanhour Fever Hospital,مستشفى الحميات بدمنهور,Beheira,البحيرة,Damanhour,Damanhour City,Public,Fever/Infectious
Damanhour Eye Hospital,مستشفى العيون بدمنهور,Beheira,البحيرة,Damanhour,Damanhour City,Public,Ophthalmology
Damanhour Mental Health Hospital,مستشفى الصحة النفسية بدمنهور,Beheira,البحيرة,Damanhour,Damanhour City,Public,Psychiatry
Kafr El Dawar General Hospital,مستشفى كفر الدوار العام,Beheira,البحيرة,Kafr El Dawar,Kafr El Dawar City Center,Public,General
Kafr El Dawar Fever Hospital,مستشفى الحميات بكفر الدوار,Beheira,البحيرة,Kafr El Dawar,Kafr El Dawar City,Public,Fever/Infectious
Rashid General Hospital,مستشفى رشيد العام,Beheira,البحيرة,Rashid,Rashid City,Public,General
Edko Hospital,مستشفى إدكو,Beheira,البحيرة,Edko,Edko City,Public,General
Abu Hummus Hospital,مستشفى أبو حمص,Beheira,البحيرة,Abu Hummus,Abu Hummus City,Public,General
El Mahmoudiya Hospital,مستشفى المحمودية,Beheira,البحيرة,El Mahmoudiya,El Mahmoudiya City,Public,General
Etay El Baroud Hospital,مستشفى إيتاي البارود,Beheira,البحيرة,Etay El Baroud,Etay El Baroud City,Public,General
El Delengat Hospital,مستشفى الدلنجات,Beheira,البحيرة,El Delengat,El Delengat City,Public,General
Housh Eisa Hospital,مستشفى حوش عيسى,Beheira,البحيرة,Housh Eisa,Housh Eisa City,Public,General
Shubrakhit Hospital,مستشفى شبراخيت,Beheira,البحيرة,Shubrakhit,Shubrakhit City,Public,General
Kom Hamada Hospital,مستشفى كوم حمادة,Beheira,البحيرة,Kom Hamada,Kom Hamada City,Public,General
El Rahmania Hospital,مستشفى الرحمانية,Beheira,البحيرة,El Rahmania,El Rahmania City,Public,General
Badr City Hospital Beheira,مستشفى بدر بالبحيرة,Beheira,البحيرة,Badr City,Badr City,Public,General
Wadi El Natrun Hospital,مستشفى وادي النطرون,Beheira,البحيرة,Wadi El Natrun,Wadi El Natrun City,Public,General
El Nubareya Hospital,مستشفى النوبارية,Beheira,البحيرة,El Nubareya,El Nubareya City,Public,General
El Mahmoudiya Chest Hospital,مستشفى الصدر بالمحمودية,Beheira,البحيرة,El Mahmoudiya,El Mahmoudiya City,Public,Chest
Beheira University Hospital,مستشفى جامعة البحيرة,Beheira,البحيرة,Damanhour,Damanhour University Campus,University,General
Mansoura University Hospital,مستشفى جامعة المنصورة,Dakahlia,الدقهلية,Mansoura,Mansoura University Campus,University,General
Mansoura General Hospital,مستشفى المنصورة العام,Dakahlia,الدقهلية,Mansoura,Mansoura City Center,Public,General
Mansoura International Hospital,مستشفى المنصورة الدولي,Dakahlia,الدقهلية,Mansoura,Mansoura City,Private,General
Mansoura New General Hospital,مستشفى المنصورة الجديد العام,Dakahlia,الدقهلية,Mansoura,Mansoura City,Public,General
Mansoura Chest Hospital,مستشفى الصدر بالمنصورة,Dakahlia,الدقهلية,Mansoura,Mansoura City,Public,Chest
Mansoura Fever Hospital,مستشفى الحميات بالمنصورة,Dakahlia,الدقهلية,Mansoura,Mansoura City,Public,Fever/Infectious
Mansoura Eye Hospital,مستشفى العيون بالمنصورة,Dakahlia,الدقهلية,Mansoura,Mansoura City,Public,Ophthalmology
Mansoura Mental Health Hospital,مستشفى الصحة النفسية بالمنصورة,Dakahlia,الدقهلية,Mansoura,Mansoura City,Public,Psychiatry
Mansoura Pediatric Hospital,مستشفى الأطفال بالمنصورة,Dakahlia,الدقهلية,Mansoura,Mansoura University Campus,University,Pediatrics
Mansoura Urology Center,مركز المسالك البولية بالمنصورة,Dakahlia,الدقهلية,Mansoura,Mansoura University Campus,University,Urology
Mansoura Oncology Center,مركز الأورام بالمنصورة,Dakahlia,الدقهلية,Mansoura,Mansoura University Campus,University,Oncology
Mansoura Gastroenterology Center,مركز الجهاز الهضمي بالمنصورة,Dakahlia,الدقهلية,Mansoura,Mansoura University Campus,University,Gastroenterology
Mit Ghamr Hospital,مستشفى ميت غمر,Dakahlia,الدقهلية,Mit Ghamr,Mit Ghamr City Center,Public,General
Mit Ghamr Fever Hospital,مستشفى الحميات بميت غمر,Dakahlia,الدقهلية,Mit Ghamr,Mit Ghamr City,Public,Fever/Infectious
Aga Hospital,مستشفى أجا,Dakahlia,الدقهلية,Aga,Aga City,Public,General
El Senbellawein Hospital,مستشفى السنبلاوين,Dakahlia,الدقهلية,El Senbellawein,El Senbellawein City,Public,General
Dikirnis Hospital,مستشفى دكرنس,Dakahlia,الدقهلية,Dikirnis,Dikirnis City,Public,General
Belqas Hospital,مستشفى بلقاس,Dakahlia,الدقهلية,Belqas,Belqas City,Public,General
Manzala Hospital,مستشفى المنزلة,Dakahlia,الدقهلية,Manzala,Manzala City,Public,General
El Matareya Hospital Dakahlia,مستشفى المطرية بالدقهلية,Dakahlia,الدقهلية,El Matareya,El Matareya City,Public,General
Talkha Hospital,مستشفى طلخا,Dakahlia,الدقهلية,Talkha,Talkha City,Public,General
Bani Ubayd Hospital,مستشفى بني عبيد,Dakahlia,الدقهلية,Bani Ubayd,Bani Ubayd City,Public,General
El Gamaliya Hospital,مستشفى الجمالية,Dakahlia,الدقهلية,El Gamaliya,El Gamaliya City,Public,General
Sherbin Hospital,مستشفى شربين,Dakahlia,الدقهلية,Sherbin,Sherbin City,Public,General
Tamiya El Amdid Hospital,مستشفى تمي الأمديد,Dakahlia,الدقهلية,Tamiya El Amdid,Tamiya El Amdid City,Public,General
Nabaroh Hospital,مستشفى نبروه,Dakahlia,الدقهلية,Nabaroh,Nabaroh City,Public,General
Mansoura Nephrology Center,مركز الكلى بالمنصورة,Dakahlia,الدقهلية,Mansoura,Mansoura University Campus,University,Nephrology
Mansoura Dental Hospital,مستشفى الأسنان بالمنصورة,Dakahlia,الدقهلية,Mansoura,Mansoura University Campus,University,Dentistry
Mansoura Dermatology Hospital,مستشفى الجلدية بالمنصورة,Dakahlia,الدقهلية,Mansoura,Mansoura University Campus,University,Dermatology
Zagazig University Hospital,مستشفى جامعة الزقازيق,Sharqia,الشرقية,Zagazig,Zagazig University Campus,University,General
Zagazig General Hospital,مستشفى الزقازيق العام,Sharqia,الشرقية,Zagazig,Zagazig City Center,Public,General
Zagazig Chest Hospital,مستشفى الصدر بالزقازيق,Sharqia,الشرقية,Zagazig,Zagazig City,Public,Chest
Zagazig Fever Hospital,مستشفى الحميات بالزقازيق,Sharqia,الشرقية,Zagazig,Zagazig City,Public,Fever/Infectious
Zagazig Eye Hospital,مستشفى العيون بالزقازيق,Sharqia,الشرقية,Zagazig,Zagazig City,Public,Ophthalmology
Zagazig Mental Health Hospital,مستشفى الصحة النفسية بالزقازيق,Sharqia,الشرقية,Zagazig,Zagazig City,Public,Psychiatry
Belbeis General Hospital,مستشفى بلبيس العام,Sharqia,الشرقية,Belbeis,Belbeis City Center,Public,General
Belbeis Central Hospital,مستشفى بلبيس المركزي,Sharqia,الشرقية,Belbeis,Belbeis City,Public,General
Abu Hammad Hospital,مستشفى أبو حماد,Sharqia,الشرقية,Abu Hammad,Abu Hammad City,Public,General
Abu Kebir Hospital,مستشفى أبو كبير,Sharqia,الشرقية,Abu Kebir,Abu Kebir City,Public,General
Minya El Qamh Hospital,مستشفى منيا القمح,Sharqia,الشرقية,Minya El Qamh,Minya El Qamh City,Public,General
Faqous Hospital,مستشفى فاقوس,Sharqia,الشرقية,Faqous,Faqous City,Public,General
El Ibrahimiya Hospital,مستشفى الإبراهيمية,Sharqia,الشرقية,El Ibrahimiya,El Ibrahimiya City,Public,General
El Husseiniya Hospital,مستشفى الحسينية,Sharqia,الشرقية,El Husseiniya,El Husseiniya City,Public,General
Kafr Saqr Hospital,مستشفى كفر صقر,Sharqia,الشرقية,Kafr Saqr,Kafr Saqr City,Public,General
Awlad Saqr Hospital,مستشفى أولاد صقر,Sharqia,الشرقية,Awlad Saqr,Awlad Saqr City,Public,General
El Hehya Hospital,مستشفى ههيا,Sharqia,الشرقية,El Hehya,El Hehya City,Public,General
El Qenayat Hospital,مستشفى القنايات,Sharqia,الشرقية,El Qenayat,El Qenayat City,Public,General
Darb Negm Hospital,مستشفى ديرب نجم,Sharqia,الشرقية,Darb Negm,Darb Negm City,Public,General
Salamoun Hospital,مستشفى صلامون,Sharqia,الشرقية,Belbeis,Belbeis City,Public,General
Zagazig University Pediatric Hospital,مستشفى الأطفال بجامعة الزقازيق,Sharqia,الشرقية,Zagazig,Zagazig University Campus,University,Pediatrics
Zagazig Oncology Center,مركز الأورام بالزقازيق,Sharqia,الشرقية,Zagazig,Zagazig City,University,Oncology
Awlad Saqr Fever Hospital,مستشفى الحميات بأولاد صقر,Sharqia,الشرقية,Awlad Saqr,Awlad Saqr City,Public,Fever/Infectious
Faqous Fever Hospital,مستشفى الحميات بفاقوس,Sharqia,الشرقية,Faqous,Faqous City,Public,Fever/Infectious
Kafr Saqr Fever Hospital,مستشفى الحميات بكفر صقر,Sharqia,الشرقية,Kafr Saqr,Kafr Saqr City,Public,Fever/Infectious
Tanta University Hospital,مستشفى جامعة طنطا,Gharbia,الغربية,Tanta,Tanta University Campus,University,General
Tanta General Hospital,مستشفى طنطا العام,Gharbia,الغربية,Tanta,Tanta City Center,Public,General
Tanta Chest Hospital,مستشفى الصدر بطنطا,Gharbia,الغربية,Tanta,Tanta City,Public,Chest
Tanta Fever Hospital,مستشفى الحميات بطنطا,Gharbia,الغربية,Tanta,Tanta City,Public,Fever/Infectious
Tanta Eye Hospital,مستشفى العيون بطنطا,Gharbia,الغربية,Tanta,Tanta City,Public,Ophthalmology
Tanta Mental Health Hospital,مستشفى الصحة النفسية بطنطا,Gharbia,الغربية,Tanta,Tanta City,Public,Psychiatry
